,STATE,CountyNo,BelowUni,AboveUni
492,KY,15,35.416115283966064,64.5838851928711
493,VT,21,39.88433885574341,60.11566162109375
494,ME,31,35.77328681945801,64.22671508789062
495,FL,91,32.538747787475586,67.46125411987305
496,IN,97,40.81486415863037,59.18513488769531
497,MO,95,36.846137046813965,63.15386390686035
498,TX,167,35.00988960266113,64.99010848999023
499,KY,151,38.4325590133667,61.56744194030762
500,NE,177,34.415213108062744,65.58478546142578
501,MI,37,31.630406379699707,68.36959075927734
502,AR,45,38.5908203125,61.40917778015137
503,NC,147,35.188597679138184,64.8114013671875
504,NY,93,37.517436027526855,62.48256301879883
505,VA,177,37.03847694396973,62.96152305603027
506,WI,7,32.398377418518066,67.60162353515625
507,VA,127,37.12618446350098,62.87381553649902
508,CA,51,33.786484718322754,66.21351623535156
509,MT,67,32.523775577545166,67.47622299194336
510,MD,37,40.16085147857666,59.839149475097656
511,NC,0,36.941001892089844,63.05900001525879
512,OK,143,35.792646408081055,64.20735549926758
513,FL,119,38.26593589782715,61.73406410217285
514,KS,79,32.038105964660645,67.9618911743164
515,TX,303,37.93563652038574,62.06436538696289
516,MT,29,34.03824758529663,65.96175384521484
517,KY,35,40.35725975036621,59.64274024963379
518,CO,45,37.143938064575195,62.85606384277344
519,VT,17,41.8482346534729,58.15176582336426
520,NE,179,33.51841592788696,66.48158264160156
521,AL,3,36.70217227935791,63.29782676696777
522,OR,39,30.582676887512207,69.41732215881348
523,MO,31,39.930227279663086,60.069772720336914
524,NV,5,29.47281789779663,70.52718353271484
525,PA,95,42.890777587890625,57.10922050476074
526,OH,9,41.99887275695801,58.00112724304199
527,IN,59,38.069082260131836,61.930917739868164
528,SD,13,36.33328151702881,63.66671943664551
529,NH,1,35.63722562789917,64.36277770996094
530,SD,103,35.423489570617676,64.57650947570801
531,NV,31,34.81961631774902,65.18038558959961
532,WA,63,28.81053113937378,71.18946838378906
533,WV,37,40.18096351623535,59.81903648376465
534,WA,5,32.58464050292969,67.41535949707031
535,WV,69,41.80152702331543,58.1984748840332
536,ME,27,38.99949073791504,61.00050926208496
537,AK,66,39.148934841156006,60.8510627746582
538,NC,89,34.33893966674805,65.66106033325195
539,MT,9,35.796907901763916,64.20309257507324
540,MO,77,35.46228361129761,64.53771591186523
541,CA,67,34.18007564544678,65.8199234008789
542,GA,187,42.15568733215332,57.84431266784668
543,KS,173,36.549564361572266,63.450435638427734
544,IA,61,39.430657386779785,60.5693416595459
545,MT,47,33.12848424911499,66.87151527404785
546,CO,57,32.83996295928955,67.16003799438477
547,NJ,29,41.04054307937622,58.95945739746094
548,WA,11,31.41941738128662,68.58058166503906
549,KS,177,38.982783794403076,61.017215728759766
