,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
373,105,4347,13514,105533,439034,93771,68847,FL,0.41397362907580965
374,107,473,481,11444,52345,5228,3350,FL,0.5412928744207774
375,109,886,9882,13363,220420,24108,4766,FL,0.6616517022990083
376,111,1583,5818,66407,192202,41056,22160,FL,0.4019246335943392
377,113,1701,3928,11035,151133,16576,3627,FL,0.6583634111588955
378,115,1502,8515,16781,359053,33619,14536,FL,0.693438706503922
379,117,1945,25615,53509,289597,69240,30950,FL,0.42011443245856833
380,119,427,1256,8593,112058,5512,1906,FL,0.7523713900224066
381,121,247,275,5010,33024,3026,1892,FL,0.5971240274245961
382,123,114,225,4209,16047,909,292,FL,0.5813871741035453
383,125,50,35,3233,11903,619,307,FL,0.5853465395491702
384,127,2390,10689,57789,400163,54982,27530,FL,0.5462320535021472
385,129,184,203,4250,26614,1969,544,FL,0.6408864260860219
386,131,585,923,3339,61858,5738,2862,FL,0.684178861925031
387,133,250,137,3283,19811,1487,350,FL,0.6328674518829706
388,1,92,128,3387,13071,707,1059,GA,0.5407971475525909
389,3,68,13,1213,5280,673,1039,GA,0.44986897045165863
390,5,18,40,1763,8251,497,571,GA,0.5782624923851487
391,7,1,18,1130,1536,118,73,GA,0.44197894038428437
392,9,111,599,18404,22655,1360,670,GA,0.4454999313757473
393,11,117,190,395,15838,982,513,GA,0.7756090539227355
394,13,428,3274,10369,57644,6765,5025,GA,0.5036888255926579
395,15,525,1186,11512,82391,7917,5370,GA,0.591428284120805
396,17,70,119,6267,9432,760,546,GA,0.4367997219369179
397,19,47,80,1954,14643,956,480,GA,0.6652458748956898
398,21,426,3251,85885,57778,6271,3735,GA,0.43536067213672575
399,23,28,154,2818,9016,367,200,GA,0.5648171670584944
400,25,60,42,568,16427,795,129,GA,0.8339264408923609
401,27,56,67,5714,9307,701,456,GA,0.4515122407672052
402,29,193,1060,6486,32217,3795,987,GA,0.5478623779790979
403,31,296,1303,23052,50718,3856,1874,GA,0.47496633132650085
404,33,71,97,11027,12166,906,329,GA,0.4472169626921581
405,35,48,107,6832,16823,1192,432,GA,0.5121607011890627
406,37,8,19,3581,1783,80,102,GA,0.5157997714558308
407,39,338,882,9697,38371,4304,1176,GA,0.5291372270253153
408,43,33,65,2695,6768,609,811,GA,0.44867893240206175
409,45,543,1121,22126,82566,7814,4978,GA,0.520848599834172
410,47,329,1035,1858,59903,3852,895,GA,0.7833615682491667
411,49,49,116,2627,8745,448,533,GA,0.5352688613458133
412,51,1535,10709,109313,143891,18234,11609,GA,0.3811865578124709
413,53,157,306,1511,5965,1040,586,GA,0.4307351712729013
414,55,98,102,2408,20293,1204,860,GA,0.6735863808370373
415,57,1460,5497,17785,204670,24592,12616,GA,0.604932868737364
416,59,666,4954,31660,74925,8617,7849,GA,0.4093297765053173
417,61,1,6,1597,1151,85,8,GA,0.4786692415730337
418,63,2169,13640,207981,30505,16981,26319,GA,0.5121615153403034
419,65,44,23,1965,4309,266,142,GA,0.4944585063457264
420,67,4655,42810,203840,387625,73149,54070,GA,0.3440170304759819
421,69,236,301,11972,25437,2172,2974,GA,0.4330170977102227
422,71,415,388,10068,27248,2971,4808,GA,0.41587089212236034
423,73,842,7211,28315,102028,13697,3917,GA,0.4711390611035277
424,75,82,101,4772,10975,759,540,GA,0.4854735610203533
